slot,time,hour,mean,q05,q95
11,02:45,10,0.010708505394793021,0.0,0.038112879660150784
11,02:45,11,0.004244157972665542,0.0,0.02543329364939617
11,02:45,12,0.0017729109182860832,0.0,0.01822194142540201
11,02:45,13,0.0008430227093546418,0.0,0.01143734609747693
11,02:45,14,0.0004912246015025522,0.0,0.005018060291303028
11,02:45,15,0.00020575477323722915,0.0,0.0
11,02:45,16,0.00006814462645758476,0.0,0.0
11,02:45,17,0.000027155999508213175,0.0,0.0
11,02:45,18,0.000019981906934733057,0.0,0.0
11,02:45,19,0.000013108570284448507,0.0,0.0
11,02:45,20,6.506536877200466e-6,0.0,0.0
11,02:45,21,1.507067053800118e-7,0.0,0.0
11,02:45,22,0.0,0.0,0.0
11,02:45,23,0.0,0.0,0.0
12,03:00,0,0.030829641396755814,0.0,0.10969617767356146
12,03:00,1,0.05694371881793556,0.0,0.17620903980389935
12,03:00,2,0.08920888805111737,0.0,0.2664478034674959
12,03:00,3,0.11193410028445107,0.0,0.2533977987451169
12,03:00,4,0.15293043693028682,0.0953284264114499,0.2258563385438761
12,03:00,5,0.2506395590853519,0.06349018954809621,0.7398367869374444
12,03:00,6,0.14364969080400578,0.0,0.2693503786406306
12,03:00,7,0.0741351914874755,0.0,0.15786321101437586
12,03:00,8,0.04268503673959197,0.0,0.10693146464405764
12,03:00,9,0.025388229473372544,0.0,0.06823722117495301
12,03:00,10,0.012846993216385699,0.0,0.04152779651689523
12,03:00,11,0.005107751743741885,0.0,0.026592089940074837
12,03:00,12,0.0019573702675210808,0.0,0.019193790483210044
12,03:00,13,0.0008743887047999878,0.0,0.012308885835983219
12,03:00,14,0.0005149038324873409,0.0,0.005421953769345178
12,03:00,15,0.00021619564038294426,0.0,0.0
12,03:00,16,0.00006906344115544408,0.0,0.0
12,03:00,17,0.000027688942947791223,0.0,0.0
12,03:00,18,0.00002043444862099047,0.0,0.0
12,03:00,19,0.000013488876090481432,0.0,0.0
12,03:00,20,6.821523939344869e-6,0.0,0.0
12,03:00,21,4.0629159084724223e-7,0.0,0.0
12,03:00,22,0.0,0.0,0.0
12,03:00,23,0.0,0.0,0.0
13,03:15,0,0.0260599113347905,0.0,0.10002162998335874
13,03:15,1,0.04942527277408439,0.0,0.14608868631361888
13,03:15,2,0.08019179109623426,0.0,0.24504846578979114
13,03:15,3,0.10787340789020117,0.0,0.2746009195625413
13,03:15,4,0.14075962082857638,0.07961068911418412,0.19597186945409617
13,03:15,5,0.2306013469962353,0.08857032131186218,0.5919966661481293
13,03:15,6,0.17373548258612445,0.0,0.34929663317133486
13,03:15,7,0.08690872504951049,0.0,0.17822156108218035
13,03:15,8,0.04864556826375506,0.0,0.12179095748349783
13,03:15,9,0.029295884035099664,0.0,0.07952352191603193
13,03:15,10,0.015692824879703773,0.0,0.04715489933527631
13,03:15,11,0.0066543125249137365,0.0,0.028112428111361637
13,03:15,12,0.0023826123754967367,0.0,0.019142040272675603
13,03:15,13,0.0009312233573568465,0.0,0.011638004852048023
