model,variant,C,p_star_kind,kind,condition,bin,n,share,n_all,share_all
BAT,main,C75,pstar,all,optype,k3,24,0.47058823529411764,24,0.47058823529411764
BAT,main,C75,pstar,FN,prev_day_max,q1,0,0.0,8,0.1568627450980392
BAT,main,C75,pstar,FN,prev_day_max,q2,0,0.0,16,0.3137254901960784
BAT,main,C75,pstar,FN,prev_day_max,q3,1,1.0,12,0.23529411764705882
BAT,main,C75,pstar,FN,prev_day_max,q4,0,0.0,12,0.23529411764705882
BAT,main,C75,pstar,FN,prev_day_max,unknown,0,0.0,3,0.058823529411764705
BAT,main,C75,pstar,FP,prev_day_max,q1,0,0.0,8,0.1568627450980392
BAT,main,C75,pstar,FP,prev_day_max,q2,2,0.3333333333333333,16,0.3137254901960784
BAT,main,C75,pstar,FP,prev_day_max,q3,2,0.3333333333333333,12,0.23529411764705882
BAT,main,C75,pstar,FP,prev_day_max,q4,2,0.3333333333333333,12,0.23529411764705882
BAT,main,C75,pstar,FP,prev_day_max,unknown,0,0.0,3,0.058823529411764705
BAT,main,C75,pstar,all,prev_day_max,q1,8,0.1568627450980392,8,0.1568627450980392
BAT,main,C75,pstar,all,prev_day_max,q2,16,0.3137254901960784,16,0.3137254901960784
BAT,main,C75,pstar,all,prev_day_max,q3,12,0.23529411764705882,12,0.23529411764705882
BAT,main,C75,pstar,all,prev_day_max,q4,12,0.23529411764705882,12,0.23529411764705882
BAT,main,C75,pstar,all,prev_day_max,unknown,3,0.058823529411764705,3,0.058823529411764705
BAT,main,C75,pstar,FN,prod_sum,q2,0,0.0,25,0.49019607843137253
BAT,main,C75,pstar,FN,prod_sum,q3,1,1.0,13,0.2549019607843137
BAT,main,C75,pstar,FN,prod_sum,q4,0,0.0,13,0.2549019607843137
BAT,main,C75,pstar,FP,prod_sum,q2,1,0.16666666666666666,25,0.49019607843137253
BAT,main,C75,pstar,FP,prod_sum,q3,1,0.16666666666666666,13,0.2549019607843137
BAT,main,C75,pstar,FP,prod_sum,q4,4,0.6666666666666666,13,0.2549019607843137
BAT,main,C75,pstar,all,prod_sum,q2,25,0.49019607843137253,25,0.49019607843137253
BAT,main,C75,pstar,all,prod_sum,q3,13,0.2549019607843137,13,0.2549019607843137
BAT,main,C75,pstar,all,prod_sum,q4,13,0.2549019607843137,13,0.2549019607843137
