op,daytype,hour,from_state,p_to_high
0,sat,4,3,0.9397450685501099
0,sat,5,1,0.6019786596298218
0,sat,5,2,0.0003393482475075871
0,sat,5,3,0.9061771631240845
0,sat,6,1,0.7673557996749878
0,sat,6,2,0.0001351399114355445
0,sat,6,3,0.7751625776290894
0,sat,7,1,0.7948970198631287
0,sat,7,2,0.00020936581131536514
0,sat,7,3,0.6753848791122437
0,sat,8,1,0.6611179113388062
0,sat,8,2,0.001023856457322836
0,sat,8,3,0.7486549615859985
0,sat,9,1,0.351341187953949
0,sat,9,2,0.007383820600807667
0,sat,9,3,0.8575680255889893
0,sat,10,1,0.11504263430833817
0,sat,10,2,0.03632163628935814
0,sat,10,3,0.8418384194374084
0,sat,11,1,0.043833378702402115
0,sat,11,2,0.07626823335886002
0,sat,11,3,0.7417700290679932
0,sat,12,1,0.03652779012918472
0,sat,12,2,0.06734952330589294
0,sat,12,3,0.685920000076294
0,sat,13,1,0.07050357013940811
0,sat,13,2,0.032118141651153564
0,sat,13,3,0.7013098001480103
0,sat,14,1,0.1972467005252838
0,sat,14,2,0.012479028664529324
0,sat,14,3,0.6486250758171082
0,sat,15,1,0.4400177001953125
0,sat,15,2,0.005782242864370346
0,sat,15,3,0.533708930015564
0,sat,16,1,0.6381475329399109
0,sat,16,2,0.003498541656881571
0,sat,16,3,0.5362497568130493
0,sat,17,1,0.7006380558013916
0,sat,17,2,0.0023913108743727207
0,sat,17,3,0.6589217185974121
0,sat,18,1,0.6746388673782349
0,sat,18,2,0.001438942039385438
0,sat,18,3,0.7791054248809814
0,sat,19,1,0.6223308444023132
0,sat,19,2,0.0006757975206710398
0,sat,19,3,0.824571430683136
0,sat,20,1,0.5952286720275879
0,sat,20,2,0.000310657691443339
0,sat,20,3,0.8027381300926208
0,sat,21,1,0.6020185947418213
0,sat,21,2,0.0002203773765359074
0,sat,21,3,0.7436866760253906
0,sat,22,1,0.6033234000205994
0,sat,22,2,0.00035599106922745705
0,sat,22,3,0.7243905067443848
0,sat,23,1,0.5465863347053528
0,sat,23,2,0.001266921404749155
0,sat,23,3,0.8066363334655762
0,sun,0,1,0.04036983102560043
0,sun,0,2,0.08130494505167007
0,sun,0,3,0.5946797132492065
0,sun,1,1,0.026244625449180603
0,sun,1,2,0.23299098014831543
0,sun,1,3,0.5453817844390869
0,sun,2,1,0.01903528720140457
0,sun,2,2,0.28485655784606934
0,sun,2,3,0.46718788146972656
0,sun,3,1,0.020942166447639465
0,sun,3,2,0.14437243342399597
0,sun,3,3,0.4579761326313019
0,sun,4,1,0.03954904526472092
0,sun,4,2,0.032432325184345245
0,sun,4,3,0.5332263112068176
0,sun,5,1,0.09546802937984467
0,sun,5,2,0.006019864231348038
0,sun,5,3,0.5967848896980286
0,sun,6,1,0.18357452750205994
0,sun,6,2,0.0024031917564570904
0,sun,6,3,0.4994034171104431
0,sun,7,1,0.20623289048671722
0,sun,7,2,0.0035885004326701164
0,sun,7,3,0.4029560685157776
0,sun,8,1,0.11750179529190063
0,sun,8,2,0.013640603050589561
0,sun,8,3,0.45065081119537354
0,sun,9,1,0.03437592834234238
0,sun,9,2,0.07235267758369446
0,sun,9,3,0.4463317394256592
0,sun,10,1,0.008023067377507687
0,sun,10,2,0.3118966221809387
0,sun,10,3,0.273028701543808
0,sun,11,1,0.0028540657367557287
0,sun,11,2,0.563079833984375
0,sun,11,3,0.14778661727905273
0,sun,12,1,0.002377677010372281
0,sun,12,2,0.5492615103721619
0,sun,12,3,0.11643583327531815
0,sun,13,1,0.004691239446401596
0,sun,13,2,0.35760974884033203
0,sun,13,3,0.14998751878738403
0,sun,14,1,0.01487098541110754
0,sun,14,2,0.1688772737979889
0,sun,14,3,0.21589408814907074
0,sun,15,1,0.04674527794122696
0,sun,15,2,0.06913505494594574
0,sun,15,3,0.2356073260307312
0,sun,16,1,0.10172156244516373
0,sun,16,2,0.02938859537243843
0,sun,16,3,0.2681583762168884
0,sun,17,1,0.13402220606803894
0,sun,17,2,0.02005351521074772
0,sun,17,3,0.37619173526763916
0,sun,18,1,0.12231475859880447
0,sun,18,2,0.017769470810890198
0,sun,18,3,0.4981774687767029
0,sun,19,1,0.09989353269338608
0,sun,19,2,0.010858530178666115
0,sun,19,3,0.550710916519165
0,sun,20,1,0.08995795249938965
0,sun,20,2,0.005358681548386812
0,sun,20,3,0.5278583765029907
0,sun,21,1,0.0918269157409668
0,sun,21,2,0.0038228922057896852
0,sun,21,3,0.46681541204452515
0,sun,22,1,0.08931766450405121
0,sun,22,2,0.005945330485701561
0,sun,22,3,0.4465984106063843
0,sun,23,1,0.06586872786283493
0,sun,23,2,0.01902051456272602
0,sun,23,3,0.5227507948875427
1,wk,0,1,0.004569702316075563
1,wk,0,2,0.13136723637580872
1,wk,0,3,0.9067291021347046
1,wk,1,1,0.0018388413591310382
1,wk,1,2,0.4235682487487793
1,wk,1,3,0.9819908142089844
1,wk,2,1,0.000782857823651284
1,wk,2,2,0.4717309772968292
1,wk,2,3,0.9936463832855225
1,wk,3,1,0.0005469347815960646
1,wk,3,2,0.18634255230426788
1,wk,3,3,0.9963831901550293
1,wk,4,1,0.0007812643307261169
1,wk,4,2,0.019558288156986237
1,wk,4,3,0.9972499012947083
1,wk,5,1,0.0019443136407062411
1,wk,5,2,0.001190413604490459
1,wk,5,3,0.9954656958580017
1,wk,6,1,0.005428416188806295
1,wk,6,2,0.00015982580953277647
1,wk,6,3,0.9827889204025269
1,wk,7,1,0.010164661332964897
1,wk,7,2,0.00011987434845650569
1,wk,7,3,0.9424756765365601
1,wk,8,1,0.008134189993143082
1,wk,8,2,0.0004838894819840789
1,wk,8,3,0.8845307230949402
1,wk,9,1,0.0040226951241493225
1,wk,9,2,0.004136097151786089
1,wk,9,3,0.7788017988204956
1,wk,10,1,0.0030907089821994305
1,wk,10,2,0.03378657251596451
1,wk,10,3,0.5097102522850037
1,wk,11,1,0.0038839555345475674
1,wk,11,2,0.137568861246109
1,wk,11,3,0.2832033634185791
1,wk,12,1,0.00695206131786108
1,wk,12,2,0.20959800481796265
1,wk,12,3,0.2503933608531952
1,wk,13,1,0.01713109388947487
1,wk,13,2,0.13976708054542542
1,wk,13,3,0.3576820194721222
1,wk,14,1,0.04297307878732681
1,wk,14,2,0.047000154852867126
1,wk,14,3,0.4632875919342041
1,wk,15,1,0.07659625262022018
1,wk,15,2,0.010033287107944489
1,wk,15,3,0.5232609510421753
1,wk,16,1,0.08721251785755157
1,wk,16,2,0.002499591326341033
1,wk,16,3,0.6553935408592224
1,wk,17,1,0.06777703016996384
1,wk,17,2,0.0011517800157889724
1,wk,17,3,0.800667941570282
1,wk,18,1,0.03971068933606148
1,wk,18,2,0.0005693896673619747
1,wk,18,3,0.8670333623886108
1,wk,19,1,0.02216280810534954
1,wk,19,2,0.0002410739252809435
1,wk,19,3,0.8563557267189026
1,wk,20,1,0.015329744666814804
1,wk,20,2,0.0001524766266811639
1,wk,20,3,0.7691497802734375
1,wk,21,1,0.013361359015107155
1,wk,21,2,0.0002477591624483466
1,wk,21,3,0.6171330213546753
1,wk,22,1,0.011803949251770973
1,wk,22,2,0.0012699869694188237
1,wk,22,3,0.544541597366333
1,wk,23,1,0.008571079932153225
1,wk,23,2,0.013934444636106491
1,wk,23,3,0.6894364356994629
1,sat,0,1,0.08651543408632278
1,sat,0,2,0.020286839455366135
1,sat,0,3,0.9779556393623352
1,sat,1,1,0.03548816591501236
1,sat,1,2,0.08861460536718369
1,sat,1,3,0.9952232241630554
1,sat,2,1,0.015344633720815182
1,sat,2,2,0.10322095453739166
1,sat,2,3,0.9979924559593201
1,sat,3,1,0.010767248459160328
1,sat,3,2,0.02971716597676277
1,sat,3,3,0.9988152384757996
1,sat,4,1,0.015305129811167717
1,sat,4,2,0.002549554221332073
1,sat,4,3,0.9991490244865417
1,sat,5,1,0.037205375730991364
1,sat,5,2,0.00015134119894355536
1,sat,5,3,0.9988473653793335
1,sat,6,1,0.0979117676615715
1,sat,6,2,0.00002029335155384615
1,sat,6,3,0.9961993098258972
1,sat,7,1,0.1819189041852951
1,sat,7,2,0.0000152573011291679
1,sat,7,3,0.9871400594711304
1,sat,8,1,0.20045410096645355
1,sat,8,2,0.00006435977411456406
1,sat,8,3,0.9706400632858276
1,sat,9,1,0.14639748632907867
1,sat,9,2,0.0006488243234343827
1,sat,9,3,0.9225136041641235
1,sat,10,1,0.10382013022899628
1,sat,10,2,0.005879543721675873
1,sat,10,3,0.7516754269599915
1,sat,11,1,0.09660529345273972
1,sat,11,2,0.02453279122710228
1,sat,11,3,0.5346667170524597
1,sat,12,1,0.14012759923934937
1,sat,12,2,0.03756532818078995
1,sat,12,3,0.4965613782405853
1,sat,13,1,0.2806636691093445
1,sat,13,2,0.023951802402734756
1,sat,13,3,0.6383363008499146
1,sat,14,1,0.5123424530029297
1,sat,14,2,0.00857381708920002
1,sat,14,3,0.7740275859832764
1,sat,15,1,0.6843048334121704
1,sat,15,2,0.0024223432410508394
1,sat,15,3,0.8349210023880005
1,sat,16,1,0.7213732004165649
1,sat,16,2,0.0007083684904500842
1,sat,16,3,0.8997278809547424
1,sat,17,1,0.6403226256370544
1,sat,17,2,0.00023773850989528
1,sat,17,3,0.9491037130355835
