model,variant,C,p_star_kind,kind,condition,bin,n,share,n_all,share_all
B4,main,C50,pstar,all,prod_sum,q3,13,0.2549019607843137,13,0.2549019607843137
B4,main,C50,pstar,all,prod_sum,q4,13,0.2549019607843137,13,0.2549019607843137
B4,main,C50,pstar,FN,prod_sum,q2,1,1.0,25,0.49019607843137253
B4,main,C50,pstar,FN,prod_sum,q3,0,0.0,13,0.2549019607843137
B4,main,C50,pstar,FN,prod_sum,q4,0,0.0,13,0.2549019607843137
B4,main,C50,pstar,FP,prod_sum,q2,0,0.0,25,0.49019607843137253
B4,main,C50,pstar,FP,prod_sum,q3,0,0.0,13,0.2549019607843137
B4,main,C50,pstar,FP,prod_sum,q4,1,1.0,13,0.2549019607843137
B4,main,C75,0.5,all,daytype,sat,7,0.13725490196078433,7,0.13725490196078433
B4,main,C75,0.5,all,daytype,sun,7,0.13725490196078433,7,0.13725490196078433
B4,main,C75,0.5,all,daytype,wk,37,0.7254901960784313,37,0.7254901960784313
B4,main,C75,0.5,FN,daytype,sat,0,0.0,7,0.13725490196078433
B4,main,C75,0.5,FN,daytype,sun,0,0.0,7,0.13725490196078433
B4,main,C75,0.5,FN,daytype,wk,8,1.0,37,0.7254901960784313
B4,main,C75,0.5,FP,daytype,sat,0,0.0,7,0.13725490196078433
B4,main,C75,0.5,FP,daytype,sun,0,0.0,7,0.13725490196078433
B4,main,C75,0.5,FP,daytype,wk,11,1.0,37,0.7254901960784313
B4,main,C75,0.5,all,op_prev,0,15,0.29411764705882354,15,0.29411764705882354
B4,main,C75,0.5,all,op_prev,1,36,0.7058823529411765,36,0.7058823529411765
B4,main,C75,0.5,FN,op_prev,0,2,0.25,15,0.29411764705882354
B4,main,C75,0.5,FN,op_prev,1,6,0.75,36,0.7058823529411765
B4,main,C75,0.5,FP,op_prev,0,3,0.2727272727272727,15,0.29411764705882354
B4,main,C75,0.5,FP,op_prev,1,8,0.7272727272727273,36,0.7058823529411765
B4,main,C75,0.5,all,op_next,0,13,0.2549019607843137,13,0.2549019607843137
B4,main,C75,0.5,all,op_next,1,38,0.7450980392156863,38,0.7450980392156863
B4,main,C75,0.5,FN,op_next,0,0,0.0,13,0.2549019607843137
B4,main,C75,0.5,FN,op_next,1,8,1.0,38,0.7450980392156863
B4,main,C75,0.5,FP,op_next,0,0,0.0,13,0.2549019607843137
B4,main,C75,0.5,FP,op_next,1,11,1.0,38,0.7450980392156863
B4,main,C75,0.5,all,prev_day_max,q1,8,0.1568627450980392,8,0.1568627450980392
B4,main,C75,0.5,all,prev_day_max,q2,16,0.3137254901960784,16,0.3137254901960784
B4,main,C75,0.5,all,prev_day_max,q3,12,0.23529411764705882,12,0.23529411764705882
B4,main,C75,0.5,all,prev_day_max,q4,12,0.23529411764705882,12,0.23529411764705882
B4,main,C75,0.5,all,prev_day_max,unknown,3,0.058823529411764705,3,0.058823529411764705
B4,main,C75,0.5,FN,prev_day_max,q1,0,0.0,8,0.1568627450980392
B4,main,C75,0.5,FN,prev_day_max,q2,2,0.25,16,0.3137254901960784
B4,main,C75,0.5,FN,prev_day_max,q3,2,0.25,12,0.23529411764705882
B4,main,C75,0.5,FN,prev_day_max,q4,2,0.25,12,0.23529411764705882
B4,main,C75,0.5,FN,prev_day_max,unknown,2,0.25,3,0.058823529411764705
B4,main,C75,0.5,FP,prev_day_max,q1,1,0.09090909090909091,8,0.1568627450980392
B4,main,C75,0.5,FP,prev_day_max,q2,6,0.5454545454545454,16,0.3137254901960784
B4,main,C75,0.5,FP,prev_day_max,q3,2,0.18181818181818182,12,0.23529411764705882
B4,main,C75,0.5,FP,prev_day_max,q4,2,0.18181818181818182,12,0.23529411764705882
B4,main,C75,0.5,FP,prev_day_max,unknown,0,0.0,3,0.058823529411764705
B4,main,C75,0.5,all,temp_mean,q1,13,0.2549019607843137,13,0.2549019607843137
B4,main,C75,0.5,all,temp_mean,q2,12,0.23529411764705882,12,0.23529411764705882
B4,main,C75,0.5,all,temp_mean,q3,13,0.2549019607843137,13,0.2549019607843137
B4,main,C75,0.5,all,temp_mean,q4,13,0.2549019607843137,13,0.2549019607843137
B4,main,C75,0.5,FN,temp_mean,q1,3,0.375,13,0.2549019607843137
B4,main,C75,0.5,FN,temp_mean,q2,1,0.125,12,0.23529411764705882
B4,main,C75,0.5,FN,temp_mean,q3,1,0.125,13,0.2549019607843137
B4,main,C75,0.5,FN,temp_mean,q4,3,0.375,13,0.2549019607843137
B4,main,C75,0.5,FP,temp_mean,q1,7,0.6363636363636364,13,0.2549019607843137
B4,main,C75,0.5,FP,temp_mean,q2,4,0.36363636363636365,12,0.23529411764705882
B4,main,C75,0.5,FP,temp_mean,q3,0,0.0,13,0.2549019607843137
B4,main,C75,0.5,FP,temp_mean,q4,0,0.0,13,0.2549019607843137
B4,main,C75,0.5,all,prod_sum,q2,25,0.49019607843137253,25,0.49019607843137253
B4,main,C75,0.5,all,prod_sum,q3,13,0.2549019607843137,13,0.2549019607843137
B4,main,C75,0.5,all,prod_sum,q4,13,0.2549019607843137,13,0.2549019607843137
B4,main,C75,0.5,FN,prod_sum,q2,2,0.25,25,0.49019607843137253
B4,main,C75,0.5,FN,prod_sum,q3,4,0.5,13,0.2549019607843137
B4,main,C75,0.5,FN,prod_sum,q4,2,0.25,13,0.2549019607843137
