model,variant,fold,stratum,metric,value,n
B0p,main,pooled,op,crps,NaN,0
B0p,main,pooled,op,cov50,NaN,0
B0p,main,pooled,op,cov80,NaN,0
B0p,main,pooled,op,cov90,NaN,0
B0p,main,pooled,nonop,mae,1.6226685796269726,1394
B0p,main,pooled,nonop,rmse,2.3917001390719386,1394
B0p,main,pooled,nonop,crps,NaN,0
B0p,main,pooled,nonop,cov50,NaN,0
B0p,main,pooled,nonop,cov80,NaN,0
B0p,main,pooled,nonop,cov90,NaN,0
BB,main,f1,all,mae,17.243811722199577,1152
BB,main,f1,all,rmse,23.08893039549731,1152
BB,main,f1,all,crps,NaN,0
BB,main,f1,all,cov50,NaN,0
BB,main,f1,all,cov80,NaN,0
BB,main,f1,all,cov90,NaN,0
BB,main,f1,op,mae,20.46654634131999,960
BB,main,f1,op,rmse,25.282511965282637,960
BB,main,f1,op,crps,NaN,0
BB,main,f1,op,cov50,NaN,0
BB,main,f1,op,cov80,NaN,0
BB,main,f1,op,cov90,NaN,0
BB,main,f1,nonop,mae,1.1301386265975164,192
BB,main,f1,nonop,rmse,1.6016193291224856,192
BB,main,f1,nonop,crps,NaN,0
BB,main,f1,nonop,cov50,NaN,0
BB,main,f1,nonop,cov80,NaN,0
BB,main,f1,nonop,cov90,NaN,0
BB,main,f2,all,mae,12.68418912171234,1248
BB,main,f2,all,rmse,18.700945751297173,1248
BB,main,f2,all,crps,NaN,0
BB,main,f2,all,cov50,NaN,0
BB,main,f2,all,cov80,NaN,0
BB,main,f2,all,cov90,NaN,0
BB,main,f2,op,mae,19.336888758069033,768
BB,main,f2,op,rmse,23.76852482653339,768
BB,main,f2,op,crps,NaN,0
BB,main,f2,op,cov50,NaN,0
BB,main,f2,op,cov80,NaN,0
BB,main,f2,op,cov90,NaN,0
BB,main,f2,nonop,mae,2.039869703541635,480
BB,main,f2,nonop,rmse,2.318950472614819,480
BB,main,f2,nonop,crps,NaN,0
BB,main,f2,nonop,cov50,NaN,0
BB,main,f2,nonop,cov80,NaN,0
BB,main,f2,nonop,cov90,NaN,0
BB,main,f3,all,mae,9.996923088228012,1344
BB,main,f3,all,rmse,18.08059449332218,1344
BB,main,f3,all,crps,NaN,0
BB,main,f3,all,cov50,NaN,0
BB,main,f3,all,cov80,NaN,0
BB,main,f3,all,cov90,NaN,0
BB,main,f3,op,mae,16.236779398979795,768
BB,main,f3,op,rmse,23.864379588501425,768
BB,main,f3,op,crps,NaN,0
BB,main,f3,op,cov50,NaN,0
BB,main,f3,op,cov80,NaN,0
BB,main,f3,op,cov90,NaN,0
BB,main,f3,nonop,mae,1.6771146738922995,576
BB,main,f3,nonop,rmse,1.8547981064734982,576
BB,main,f3,nonop,crps,NaN,0
BB,main,f3,nonop,cov50,NaN,0
BB,main,f3,nonop,cov80,NaN,0
BB,main,f3,nonop,cov90,NaN,0
BB,main,f4,all,mae,12.872197840485894,1272
BB,main,f4,all,rmse,18.641821207617514,1272
BB,main,f4,all,crps,NaN,0
BB,main,f4,all,cov50,NaN,0
BB,main,f4,all,cov80,NaN,0
BB,main,f4,all,cov90,NaN,0
BB,main,f4,op,mae,14.349160350852657,1126
BB,main,f4,op,rmse,19.79570846442041,1126
BB,main,f4,op,crps,NaN,0
BB,main,f4,op,cov50,NaN,0
BB,main,f4,op,cov80,NaN,0
BB,main,f4,op,cov90,NaN,0
BB,main,f4,nonop,mae,1.4813773838216817,146
BB,main,f4,nonop,rmse,2.3357766779141285,146
BB,main,f4,nonop,crps,NaN,0
BB,main,f4,nonop,cov50,NaN,0
BB,main,f4,nonop,cov80,NaN,0
BB,main,f4,nonop,cov90,NaN,0
BB,main,pooled,all,mae,13.059019021440873,5016
BB,main,pooled,all,rmse,19.62565049737903,5016
BB,main,pooled,all,crps,NaN,0
BB,main,pooled,all,cov50,NaN,0
BB,main,pooled,all,cov80,NaN,0
BB,main,pooled,all,cov90,NaN,0
BB,main,pooled,op,mae,17.428386578503805,3622
BB,main,pooled,op,rmse,23.06056152871508,3622
BB,main,pooled,op,crps,NaN,0
BB,main,pooled,op,cov50,NaN,0
BB,main,pooled,op,cov80,NaN,0
BB,main,pooled,op,cov90,NaN,0
BB,main,pooled,nonop,mae,1.7061859571066271,1394
BB,main,pooled,nonop,rmse,2.048879722995397,1394
BB,main,pooled,nonop,crps,NaN,0
BB,main,pooled,nonop,cov50,NaN,0
BB,main,pooled,nonop,cov80,NaN,0
BB,main,pooled,nonop,cov90,NaN,0
B1,main,f1,all,mae,15.256088253911226,1152
B1,main,f1,all,rmse,18.42035237760166,1152
B1,main,f1,all,crps,11.475258675725927,1152
B1,main,f1,all,cov50,0.3428819444444444,1152
B1,main,f1,all,cov80,0.6414930555555556,1152
B1,main,f1,all,cov90,0.8046875,1152
B1,main,f1,op,mae,18.10224232376673,960
B1,main,f1,op,rmse,20.164162886132885,960
B1,main,f1,op,crps,13.59562801447201,960
B1,main,f1,op,cov50,0.28020833333333334,960
B1,main,f1,op,cov80,0.5895833333333333,960
B1,main,f1,op,cov90,0.7791666666666667,960
B1,main,f1,nonop,mae,1.025317904633712,192
B1,main,f1,nonop,rmse,1.6996957956049847,192
B1,main,f1,nonop,crps,0.8734119819955085,192
B1,main,f1,nonop,cov50,0.65625,192
B1,main,f1,nonop,cov80,0.9010416666666666,192
B1,main,f1,nonop,cov90,0.9322916666666666,192
B1,main,f2,all,mae,8.330316352340201,1248
B1,main,f2,all,rmse,12.184838604983021,1248
B1,main,f2,all,crps,6.726696993052042,1248
B1,main,f2,all,cov50,0.33573717948717946,1248
B1,main,f2,all,cov80,0.5368589743589743,1248
B1,main,f2,all,cov90,0.6201923076923077,1248
B1,main,f2,op,mae,8.858668100345005,768
B1,main,f2,op,rmse,11.992749620758755,768
B1,main,f2,op,crps,7.151462524760968,768
B1,main,f2,op,cov50,0.4596354166666667,768
B1,main,f2,op,cov80,0.66796875,768
B1,main,f2,op,cov90,0.75,768
B1,main,f2,nonop,mae,7.484953555532513,480
B1,main,f2,nonop,rmse,12.486035768438478,480
B1,main,f2,nonop,crps,6.047072142317761,480
B1,main,f2,nonop,cov50,0.1375,480
