fold,start,candidate,seed,mae,crps,brier_mean,n_slots,n_days,phi_mean,pc_rate,epoch,tau,half_life,brier_C50,brier_n_C50,events_C50,calibration_C50,brier_C75,brier_n_C75,events_C75,calibration_C75,brier_C90,brier_n_C90,events_C90,calibration_C90
ar2,2021-07-08,B4-PC,1,11.046343740489748,8.572584356054314,0.061764232080951505,1152,12,0.35835132002830505,5.585301205481888,300,0.1,60,4.1479125360492374e-7,12,8,ok,0.007393534533083296,12,8,ok,0.17789874691851762,12,4,ok
ar2,2021-07-08,B3,2,12.085794863601526,9.037026890824816,0.10666139168195432,1152,12,0.0,0.0,300,0.1,60,1.5953994198212119e-7,12,8,ok,0.0008978052503557134,12,8,ok,0.3190862102555653,12,4,ok
ar2,2021-07-08,B4,2,14.832466817564434,11.496230875776089,0.11098974988369747,1152,12,0.8875548243522644,0.0,300,0.1,60,1.675980768566071e-7,12,8,ok,1.6759807649794312e-7,12,8,ok,0.3329689144549391,12,4,ok
ar2,2021-07-08,B4-low,2,12.547547188897928,9.288695309366922,0.10415235653103065,1152,12,0.5680509805679321,0.0,300,0.1,60,7.966287974239545e-8,12,8,ok,0.0012142856227379043,12,8,ok,0.3112427043074743,12,4,ok
ar2,2021-07-08,B4-PC,2,12.549201489322716,9.290081897039423,0.10314624169938558,1152,12,0.5679731369018555,5.585301205481888,300,0.1,60,7.938224467494771e-8,12,8,ok,0.0015873119496958774,12,8,ok,0.30785133376621615,12,4,ok
ar3,2021-07-15,B1,0,8.983471132782702,6.837671664666368,0.04463819853940556,1248,13,NaN,0.0,100,0.1,60,0.029167453251300227,13,9,ok,0.029263327613872084,13,9,ok,0.07548381475304436,13,8,ok
ar3,2021-07-15,B3,0,14.206154690339016,10.52385223959506,0.030293244231130907,1248,13,0.0,0.0,182,0.1,60,1.3187188570658068e-7,13,9,ok,0.019855159033579407,13,9,ok,0.0710244417879276,13,8,ok
ar3,2021-07-15,B4,0,14.808219529115236,10.935695901324875,0.0838040424008832,1248,13,0.8840934634208679,0.0,300,0.1,60,3.432014642454959e-8,13,9,ok,0.01005152432876429,13,9,ok,0.24136056855373889,13,8,ok
ar3,2021-07-15,B4-low,0,13.848316941505823,10.152859984928499,0.05910296262798792,1248,13,0.5696904063224792,0.0,300,0.1,60,4.424512150661221e-7,13,9,ok,0.03188754581936016,13,9,ok,0.14542089961338853,13,8,ok
ar3,2021-07-15,B4-PC,0,13.848574064480953,10.153273296352882,0.059129275632061655,1248,13,0.5695856809616089,5.585301205481888,300,0.1,60,4.4387118499727057e-7,13,9,ok,0.031897138831108535,13,9,ok,0.14549024419389142,13,8,ok
ar3,2021-07-15,B3,1,15.121523494139696,11.16524525737121,0.029084922926336753,1248,13,0.0,0.0,139,0.1,60,9.785047285372417e-8,13,9,ok,0.017527050598833308,13,9,ok,0.06972762032970409,13,8,ok
ar3,2021-07-15,B4,1,15.086430600056282,11.1094349795596,0.025203908232343947,1248,13,0.9132034182548523,0.0,300,0.1,60,3.2149800106386745e-8,13,9,ok,3.21498001063369e-8,13,9,ok,0.07561166039743163,13,8,ok
ar3,2021-07-15,B4-low,1,12.54134658131844,9.248680685078588,0.03519696981914424,1248,13,0.35985493659973145,0.0,300,0.1,60,1.947405286943256e-6,13,9,ok,0.030106243423530663,13,9,ok,0.07548271862861512,13,8,ok
ar3,2021-07-15,B4-PC,1,12.541417403098864,9.248607634575874,0.03521349573205738,1248,13,0.35979264974594116,5.585301205481888,300,0.1,60,1.947405286943256e-6,13,9,ok,0.03013103229290037,13,9,ok,0.07550750749798482,13,8,ok
ar3,2021-07-15,B3,2,14.999726301584488,11.189187128010449,0.028218973944428547,1248,13,0.0,0.0,159,0.1,60,7.900903609709081e-8,13,9,ok,0.015569585215776161,13,9,ok,0.06908725760847338,13,8,ok
ar3,2021-07-15,B4,2,16.129369309315315,12.317496651886849,0.024883685197913213,1248,13,0.8879894018173218,0.0,300,0.1,60,1.9694956694627276e-8,13,9,ok,6.335482874963967e-8,13,9,ok,0.0746509725439542,13,8,ok
ar3,2021-07-15,B4-low,2,13.755357292982248,10.08172490535558,0.04166718663082077,1248,13,0.5581526160240173,0.0,300,0.1,60,9.414346140985712e-7,13,9,ok,0.03147060443566164,13,9,ok,0.09353001402218658,13,8,ok
ar3,2021-07-15,B4-PC,2,13.753651887178421,10.080379766839256,0.04166550368719305,1248,13,0.5580331087112427,5.585301205481888,300,0.1,60,9.401556023821711e-7,13,9,ok,0.03146385262408996,13,9,ok,0.09353171828188682,13,8,ok
ar4,2021-07-22,B1,0,7.89476097719897,6.44258783274813,0.10606255147566486,1248,13,NaN,0.0,100,0.1,30,0.10742737007960125,13,6,ok,0.10742737007960125,13,6,ok,0.10333291426779212,13,6,ok
ar4,2021-07-22,B3,0,8.862713035100546,6.801399313751784,0.09413847608752483,1248,13,0.0,0.0,300,0.1,30,7.511847635332873e-11,13,6,ok,9.676409721767569e-8,13,6,ok,0.2824153314233588,13,6,ok
ar4,2021-07-22,B4,0,9.14538436745986,6.9121082559465234,8.945388642186768e-8,1248,13,0.864244818687439,0.0,300,0.1,30,5.051463085912775e-11,13,6,ok,6.586985069734758e-8,13,6,ok,2.0244129393739636e-7,13,6,ok
ar4,2021-07-22,B4-low,0,8.807558613709915,6.843201809404607,0.09402273517021174,1248,13,0.5666117668151855,0.0,300,0.1,30,1.1651746168583996e-9,13,6,ok,1.6640941308218518e-7,13,6,ok,0.2820680379360475,13,6,ok
ar4,2021-07-22,B4-PC,0,8.806968694313978,6.842866965287621,0.09400978519503882,1248,13,0.5664827227592468,5.585301205481888,300,0.1,30,1.1556748420781776e-9,13,6,ok,1.6657675482267917e-7,13,6,ok,0.28202918785268677,13,6,ok
ar4,2021-07-22,B3,1,8.778385928808115,6.738410559732017,0.09415545721469437,1248,13,0.0,0.0,300,0.1,30,7.988320809506079e-11,13,6,ok,9.749496911453046e-8,13,6,ok,0.2824662740692308,13,6,ok
ar4,2021-07-22,B4,1,10.016275259164663,7.4159273337661284,7.000900679629083e-8,1248,13,0.9102565050125122,0.0,300,0.1,30,3.0889278593992446e-10,13,6,ok,1.8532478709583525e-8,13,6,ok,1.9118564889334902e-7,13,6,ok
ar4,2021-07-22,B4-low,1,8.700515429943035,6.626726109541692,0.09807767158370904,1248,13,0.35984334349632263,0.0,300,0.1,30,1.580583849801631e-8,13,6,ok,9.88095375206104e-7,13,6,ok,0.2942320108499134,13,6,ok
ar4,2021-07-22,B4-PC,1,8.70020598020309,6.626468866475821,0.09805959989321694,1248,13,0.3597877025604248,5.585301205481888,300,0.1,30,1.580583849801631e-8,13,6,ok,9.87879684775241e-7,13,6,ok,0.2941777959941276,13,6,ok
ar4,2021-07-22,B3,2,8.772474322563562,6.677459954057284,0.09356323019390068,1248,13,0.0,0.0,300,0.1,30,1.6715719109015918e-10,13,6,ok,9.907125524831087e-8,13,6,ok,0.28068959134328964,13,6,ok
ar4,2021-07-22,B4,2,10.096552298619198,7.6395617552989945,0.08269918702707704,1248,13,0.8921799659729004,0.0,300,0.1,30,3.734626613111865e-11,13,6,ok,2.192515990446438e-8,13,6,ok,0.24809753911872495,13,6,ok
ar4,2021-07-22,B4-low,2,8.80018778107105,6.826026570547974,0.09714373761374429,1248,13,0.5552338361740112,0.0,300,0.1,30,4.822277231127861e-9,13,6,ok,3.026524266156025e-7,13,6,ok,0.291430905366529,13,6,ok
