model,variant,fold,stratum,metric,value,n
BAT,main,pooled,op,cov90,0.9315295416896742,3622
BAT,main,pooled,nonop,mae,1.6660652759205288,1394
BAT,main,pooled,nonop,rmse,2.2563258047745514,1394
BAT,main,pooled,nonop,crps,3.9175601808389207,1394
BAT,main,pooled,nonop,cov50,0.9992826398852224,1394
BAT,main,pooled,nonop,cov80,0.9992826398852224,1394
BAT,main,pooled,nonop,cov90,1.0,1394
M4,main,f1,all,mae,14.585742409792557,1152
M4,main,f1,all,rmse,22.47514022752934,1152
M4,main,f1,all,crps,12.21718038019214,1152
M4,main,f1,all,cov50,0.625,1152
M4,main,f1,all,cov80,0.8107638888888888,1152
M4,main,f1,all,cov90,0.8958333333333334,1152
M4,main,f1,op,mae,17.095293890652915,960
M4,main,f1,op,rmse,24.57544212198064,960
M4,main,f1,op,crps,13.691407266922274,960
M4,main,f1,op,cov50,0.55,960
M4,main,f1,op,cov80,0.7729166666666667,960
M4,main,f1,op,cov90,0.875,960
M4,main,f1,nonop,mae,2.037985005490747,192
M4,main,f1,nonop,rmse,3.321113070725586,192
M4,main,f1,nonop,crps,4.846045946541459,192
M4,main,f1,nonop,cov50,1.0,192
M4,main,f1,nonop,cov80,1.0,192
M4,main,f1,nonop,cov90,1.0,192
M4,main,f2,all,mae,9.264079438672336,1248
M4,main,f2,all,rmse,13.757489413012456,1248
M4,main,f2,all,crps,7.936537745825819,1248
M4,main,f2,all,cov50,0.719551282051282,1248
M4,main,f2,all,cov80,0.8701923076923077,1248
M4,main,f2,all,cov90,0.9391025641025641,1248
M4,main,f2,op,mae,13.647632523220528,768
M4,main,f2,op,rmse,17.359770062571577,768
M4,main,f2,op,crps,10.229196478641759,768
M4,main,f2,op,cov50,0.5442708333333334,768
M4,main,f2,op,cov80,0.7890625,768
M4,main,f2,op,cov90,0.9010416666666666,768
M4,main,f2,nonop,mae,2.2503945033952304,480
M4,main,f2,nonop,rmse,3.1495320711526693,480
M4,main,f2,nonop,crps,4.268283773320317,480
M4,main,f2,nonop,cov50,1.0,480
M4,main,f2,nonop,cov80,1.0,480
M4,main,f2,nonop,cov90,1.0,480
M4,main,f3,all,mae,8.306764832866888,1344
M4,main,f3,all,rmse,11.802542840249878,1344
M4,main,f3,all,crps,6.579828492894398,1344
M4,main,f3,all,cov50,0.7418154761904762,1344
M4,main,f3,all,cov80,0.9129464285714286,1344
M4,main,f3,all,cov90,0.9523809523809523,1344
M4,main,f3,op,mae,11.02844849770401,768
M4,main,f3,op,rmse,14.925412363681469,768
M4,main,f3,op,crps,8.3958258119951,768
M4,main,f3,op,cov50,0.5481770833333334,768
M4,main,f3,op,cov80,0.84765625,768
M4,main,f3,op,cov90,0.9166666666666666,768
M4,main,f3,nonop,mae,4.6778532797507255,576
M4,main,f3,nonop,rmse,5.292396607958532,576
M4,main,f3,nonop,crps,4.1584987340934605,576
M4,main,f3,nonop,cov50,1.0,576
M4,main,f3,nonop,cov80,1.0,576
M4,main,f3,nonop,cov90,1.0,576
M4,main,f4,all,mae,9.007143543059865,1272
M4,main,f4,all,rmse,11.85709447232846,1272
M4,main,f4,all,crps,6.868355117125789,1272
M4,main,f4,all,cov50,0.565251572327044,1272
M4,main,f4,all,cov80,0.85062893081761,1272
M4,main,f4,all,cov90,0.925314465408805,1272
M4,main,f4,op,mae,9.893244943975745,1126
M4,main,f4,op,rmse,12.56013937154343,1126
M4,main,f4,op,crps,7.335341895795757,1126
M4,main,f4,op,cov50,0.5097690941385435,1126
M4,main,f4,op,cov80,0.8321492007104796,1126
M4,main,f4,op,cov90,0.9156305506216696,1126
M4,main,f4,nonop,mae,2.1732382181880907,146
M4,main,f4,nonop,rmse,2.8631588308233322,146
M4,main,f4,nonop,crps,3.2667995501231686,146
M4,main,f4,nonop,cov50,0.9931506849315068,146
M4,main,f4,nonop,cov80,0.9931506849315068,146
M4,main,f4,nonop,cov90,1.0,146
M4,main,pooled,all,mae,10.164618205280968,5016
M4,main,pooled,all,rmse,15.364845671946702,5016
M4,main,pooled,all,crps,8.285252812640758,5016
M4,main,pooled,all,cov50,0.6646730462519936,5016
M4,main,pooled,all,cov80,0.8630382775119617,5016
M4,main,pooled,all,cov90,0.9292264752791068,5016
M4,main,pooled,op,mae,12.838902861958456,3622
M4,main,pooled,op,rmse,17.895643964722684,3622
M4,main,pooled,op,crps,9.858465784130457,3622
M4,main,pooled,op,cov50,0.5358917725013804,3622
M4,main,pooled,op,cov80,0.8106018774157924,3622
M4,main,pooled,op,cov90,0.9019878520154611,3622
M4,main,pooled,nonop,mae,3.2160823182753324,1394
M4,main,pooled,nonop,rmse,4.1673576301057915,1394
M4,main,pooled,nonop,crps,4.197607631338255,1394
M4,main,pooled,nonop,cov50,0.9992826398852224,1394
M4,main,pooled,nonop,cov80,0.9992826398852224,1394
M4,main,pooled,nonop,cov90,1.0,1394
B0,main,f1,all,peak_mae,8.416666666666666,12
B0,main,f1,all,peak_hit2,0.16666666666666666,12
B0,main,f1,all,brier_raw_C50,0.0,12
B0,main,f1,all,auc_C50,1.0,12
B0,main,f1,all,n_events_C50,8.0,12
B0,main,f1,all,brier_raw_C75,0.16666666666666666,12
B0,main,f1,all,auc_C75,0.875,12
B0,main,f1,all,n_events_C75,8.0,12
B0,main,f1,all,brier_raw_C90,0.25,12
B0,main,f1,all,auc_C90,0.6875,12
B0,main,f1,all,n_events_C90,4.0,12
