model,scheme,date,event_id,abs_sum,n_obs,event_days,mae
BAT,random5,2021-06-08,E006,970.2980623491999,96,4,10.107271482804165
BAT,random5,2021-06-09,E028,774.91408476648,96,3,8.072021716317499
BAT,random5,2021-06-10,E029,1048.2822454405118,96,3,10.919606723338665
BAT,random5,2021-06-11,E009,801.4845517840293,96,4,8.348797414416973
BAT,random5,2021-06-12,E026,428.16014884168226,96,6,4.46000155043419
BAT,random5,2021-06-13,E027,147.05385599724224,96,5,1.5318109999712732
BAT,random5,2021-06-14,E010,823.897647186865,96,3,8.58226715819651
BAT,random5,2021-06-15,E011,1026.441453331524,96,4,10.692098472203375
BAT,random5,2021-06-16,E030,769.1992238312174,96,3,8.012491914908514
BAT,random5,2021-06-17,E013,872.653281542277,96,4,9.09013834939872
BAT,random5,2021-06-18,E014,1037.0565260733406,96,4,10.802672146597297
BAT,random5,2021-06-19,E031,447.5542265530594,96,2,4.662023193261035
BAT,random5,2021-06-20,E065,123.86955435729065,96,1,1.2903078578884444
BAT,random5,2021-06-21,E015,759.1505575497704,96,2,7.907818307810108
BAT,random5,2021-06-22,E016,1042.2977141821407,96,4,10.857267856063965
BAT,random5,2021-06-23,E017,1168.6593447535406,96,4,12.173534841182715
BAT,random5,2021-06-24,E018,1035.4664328500685,96,4,10.786108675521547
BAT,random5,2021-06-25,E019,1135.3477526885758,96,4,11.826539090505998
BAT,random5,2021-06-26,E032,633.9766206844802,96,2,6.603923132130002
BAT,random5,2021-06-27,E066,217.5809640038974,96,1,2.266468375040598
BAT,random5,2021-06-28,E020,590.2433622471638,96,2,6.1483683567412895
BAT,random5,2021-06-29,E021,802.6380348114965,96,3,8.360812862619754
BAT,random5,2021-06-30,E022,915.4117607085526,96,3,9.535539174047424
BAT,random5,2021-07-01,E067,804.4410002410509,96,1,8.379593752510948
BAT,random5,2021-07-02,E068,771.8823249557711,96,1,8.040440884955949
BAT,random5,2021-07-03,E069,388.31720002188575,96,1,4.04497083356131
BAT,random5,2021-07-04,E070,163.23205470465362,96,1,1.7003339031734752
BAT,random5,2021-07-05,E071,548.8156527157664,96,1,5.716829715789234
BAT,random5,2021-07-06,E072,639.4836066678834,96,1,6.6612875694571185
BAT,random5,2021-07-07,E073,704.9768731013942,96,1,7.34350909480619
BAT,random5,2021-07-08,E074,1088.7490192701953,96,1,11.341135617397867
BAT,random5,2021-07-09,E075,2755.538421981487,96,1,28.70352522897382
BAT,random5,2021-07-10,E076,383.9084102043039,96,1,3.9990459396281657
BAT,random5,2021-07-11,E077,148.4146121790652,96,1,1.545985543531929
BAT,random5,2021-07-12,E078,645.5799316823286,96,1,6.724790955024257
BAT,random5,2021-07-14,E080,809.9903175614677,96,1,8.437399141265288
BAT,random5,2021-07-16,E082,815.4556004632461,96,1,8.494329171492147
BAT,random5,2021-07-17,E083,387.9759519687571,96,1,4.04141616634122
BAT,random5,2021-07-18,E084,189.63145260053628,96,1,1.9753276312555863
BAT,random5,2021-07-19,E085,974.8124492741581,96,1,10.154296346605813
BAT,random5,2021-07-20,E086,899.2675425231873,96,1,9.367370234616535
BAT,random5,2021-07-21,E087,1057.60741484562,96,1,11.016743904641876
BAT,random5,2021-07-22,E088,792.8006858983525,96,1,8.258340478107838
BAT,random5,2021-07-23,E089,1021.1429961306512,96,1,10.636906209694283
BAT,random5,2021-07-24,E090,346.20434802279135,96,1,3.6062952919040767
BAT,random5,2021-07-25,E091,363.6842309450211,96,1,3.7883774056773034
BAT,random5,2021-07-26,E092,870.4233461738492,96,1,9.066909855977595
BAT,random5,2021-07-27,E093,1327.0181040424236,96,1,13.823105250441913
BAT,random5,2021-07-28,E094,1376.740371804864,96,2,14.341045539634
BAT,random5,2021-07-29,E095,998.9058771257188,96,1,10.405269553392904
BAT,random5,2021-07-30,E094,3520.3324817070234,96,2,36.670130017781496
BAT,random5,2021-07-31,E096,160.71740726776244,96,1,1.6741396590391922
BAT,random5,2021-08-01,E097,107.01497512959924,96,1,1.1147393242666588
BAT,random5,2021-08-02,E098,147.04742977035693,96,1,1.5317440601078847
BAT,random5,2021-08-03,E099,141.87208012412523,96,1,1.4778341679596378
BAT,random5,2021-08-04,E100,88.32311365077462,96,1,0.9200324338622355
BAT,random5,2021-08-05,E101,103.95321341343693,96,1,1.0828459730566347
BAT,random5,2021-08-06,E102,123.05491144313854,96,1,1.2818219941993598
BAT,random5,2021-08-07,E103,129.1946789474859,96,1,1.3457779057029782
BAT,random5,2021-08-08,E104,165.1104437936579,96,1,1.7199004561839366
BAT,random5,2021-08-09,E105,968.1613971633051,96,1,10.085014553784427
BAT,random5,2021-08-10,E106,791.6233572244853,96,1,8.246076637755055
BAT,random5,2021-08-11,E107,1008.4620340218316,96,1,10.50481285439408
BAT,random5,2021-08-12,E108,854.6903171516007,96,1,8.90302413699584
BAT,random5,2021-08-13,E109,924.8459285895667,96,1,9.63381175614132
BAT,random5,2021-08-14,E110,375.07261099784944,96,1,3.9070063645609316
BAT,random5,2021-08-15,E111,97.78079764311319,96,1,1.0185499754490956
BAT,random5,2021-08-16,E112,1928.767479816257,96,1,20.09132791475268
BAT,random5,2021-08-17,E113,920.3502171341813,96,1,9.586981428481055
BAT,random5,2021-08-18,E114,763.0156617058475,96,1,7.948079809435911
BAT,random5,2021-08-19,E115,611.843729358764,96,1,6.373372180820458
BAT,random5,2021-08-20,E116,715.4849526627454,96,1,7.452968256903598
BAT,random5,2021-08-21,E117,335.339625157642,96,1,3.493121095392104
BAT,random5,2021-08-22,E118,125.38200892679305,96,1,1.3060625929874277
BAT,random5,2021-08-23,E119,634.0702432443217,96,1,6.60489836712835
BAT,random5,2021-08-24,E120,803.9476709072547,96,1,8.374454905283903
BAT,random5,2021-08-25,E121,761.3927476014228,96,1,7.9311744541814875
BAT,random5,2021-08-26,E122,742.9214215937653,96,1,7.738764808268389
BAT,random5,2021-08-27,E123,910.283669666341,96,1,9.482121559024385
BAT,random5,2021-08-28,E124,852.2033444688769,70,1,12.174333492412527
BAT,random5,2021-08-29,E125,114.20351592023133,50,1,2.2840703184046265
BAT,random5,2021-08-30,E126,759.2671273703957,96,1,7.909032576774955
BAT,random5,2021-08-31,E127,753.7982331192372,96,1,7.852064928325388
